no type constraint results:
metric:			 MRR 		 MR 		 hit@10 	 hit@3  	 hit@1 
l(raw):			 0.064524 	 1046.495117 	 0.143702 	 0.056777 	 0.025994 
r(raw):			 0.208051 	 424.034729 	 0.353415 	 0.214698 	 0.138474 
averaged(raw):		 0.136288 	 735.264893 	 0.248559 	 0.135737 	 0.082234 

l(filter):		 0.154772 	 651.408630 	 0.294586 	 0.167400 	 0.086925 
r(filter):		 0.332168 	 390.901459 	 0.523893 	 0.367341 	 0.238151 
averaged(filter):	 0.243470 	 521.155029 	 0.409240 	 0.267370 	 0.162538 
type constraint results:
metric:			 MRR 		 MR 		 hit@10 	 hit@3  	 hit@1 
l(raw):			 0.068836 	 585.595276 	 0.153523 	 0.061517 	 0.026923 
r(raw):			 0.215734 	 137.071198 	 0.367927 	 0.220659 	 0.143067 
averaged(raw):		 0.142285 	 361.333252 	 0.260725 	 0.141088 	 0.084995 

l(filter):		 0.200392 	 190.501175 	 0.352780 	 0.212645 	 0.126356 
r(filter):		 0.347141 	 103.937897 	 0.550083 	 0.384003 	 0.247288 
averaged(filter):	 0.273766 	 147.219543 	 0.451432 	 0.298324 	 0.186822 
